C:\Users\hfutz\Desktop\Data\IMG\center_2019_09_01_16_59_33_985.jpg,C:\Users\hfutz\Desktop\Data\IMG\left_2019_09_01_16_59_33_985.jpg,C:\Users\hfutz\Desktop\Data\IMG\right_2019_09_01_16_59_33_985.jpg,0,0,0,20.09239
C:\Users\hfutz\Desktop\Data\IMG\center_2019_09_01_16_59_34_052.jpg,C:\Users\hfutz\Desktop\Data\IMG\left_2019_09_01_16_59_34_052.jpg,C:\Users\hfutz\Desktop\Data\IMG\right_2019_09_01_16_59_34_052.jpg,0,0,0,19.97114
C:\Users\hfutz\Desktop\Data\IMG\center_2019_09_01_16_59_34_119.jpg,C:\Users\hfutz\Desktop\Data\IMG\left_2019_09_01_16_59_34_119.jpg,C:\Users\hfutz\Desktop\Data\IMG\right_2019_09_01_16_59_34_119.jpg,0,0,0,19.81058
C:\Users\hfutz\Desktop\Data\IMG\center_2019_09_01_16_59_34_186.jpg,C:\Users\hfutz\Desktop\Data\IMG\left_2019_09_01_16_59_34_186.jpg,C:\Users\hfutz\Desktop\Data\IMG\right_2019_09_01_16_59_34_186.jpg,0,0,0,19.691
C:\Users\hfutz\Desktop\Data\IMG\center_2019_09_01_16_59_34_256.jpg,C:\Users\hfutz\Desktop\Data\IMG\left_2019_09_01_16_59_34_256.jpg,C:\Users\hfutz\Desktop\Data\IMG\right_2019_09_01_16_59_34_256.jpg,0,0,0,19.57215
C:\Users\hfutz\Desktop\Data\IMG\center_2019_09_01_16_59_34_327.jpg,C:\Users\hfutz\Desktop\Data\IMG\left_2019_09_01_16_59_34_327.jpg,C:\Users\hfutz\Desktop\Data\IMG\right_2019_09_01_16_59_34_327.jpg,0,0,0,19.41483
C:\Users\hfutz\Desktop\Data\IMG\center_2019_09_01_16_59_34_395.jpg,C:\Users\hfutz\Desktop\Data\IMG\left_2019_09_01_16_59_34_395.jpg,C:\Users\hfutz\Desktop\Data\IMG\right_2019_09_01_16_59_34_395.jpg,0,0,0,19.29763
C:\Users\hfutz\Desktop\Data\IMG\center_2019_09_01_16_59_34_463.jpg,C:\Users\hfutz\Desktop\Data\IMG\left_2019_09_01_16_59_34_463.jpg,C:\Users\hfutz\Desktop\Data\IMG\right_2019_09_01_16_59_34_463.jpg,0,0,0,19.14216
C:\Users\hfutz\Desktop\Data\IMG\center_2019_09_01_16_59_34_532.jpg,C:\Users\hfutz\Desktop\Data\IMG\left_2019_09_01_16_59_34_532.jpg,C:\Users\hfutz\Desktop\Data\IMG\right_2019_09_01_16_59_34_532.jpg,0,0,0,19.02596
C:\Users\hfutz\Desktop\Data\IMG\center_2019_09_01_16_59_34_602.jpg,C:\Users\hfutz\Desktop\Data\IMG\left_2019_09_01_16_59_34_602.jpg,C:\Users\hfutz\Desktop\Data\IMG\right_2019_09_01_16_59_34_602.jpg,0,0,0,18.87198
